name,population,area,district,state
Ангарск,231994.0,294.0,Иркутская область,Россия
Бодайбо,,11.0,Иркутская область,Россия
Братск,242604.0,262.9,Иркутская область,Россия
Иркутск,601993.0,280.0,Иркутская область,Россия
Усолье-Сибирское,76047.0,,Иркутская область,Россия
Красноярск,1082930.0,363.9,Красноярский край,Россия
Норильск,176190.0,23.0,Красноярский край,Россия
Ачинск,109200.0,103.0,Красноярский край,Россия
Железногорск,84540.0,96.3,Красноярский край,Россия
Канск,94050.0,96.3,Красноярский край,Россия
Познань,540360.0,261.8,Великопольское воеводство,Польша
Гнезно,68940.0,49.0,Великопольское воеводство,Польша
Конин,79300.0,82.0,Великопольское воеводство,Польша
